timestamp,team,fire_cost,damage_cost,total
0.0,red,0.0,0.0,0.0
0.0,blue,0.0,0.0,0.0
1.0,red,0.0,0.0,0.0
1.0,blue,0.0,0.0,0.0
2.0,red,0.0,0.0,0.0
2.0,blue,0.0,0.0,0.0
3.0,red,0.0,0.0,0.0
3.0,blue,0.0,0.0,0.0
4.0,red,0.0,0.0,0.0
4.0,blue,0.0,0.0,0.0
5.0,red,0.0,0.0,0.0
5.0,blue,0.0,0.0,0.0
6.0,red,0.0,0.0,0.0
6.0,blue,0.0,0.0,0.0
7.0,red,0.0,0.0,0.0
7.0,blue,0.0,0.0,0.0
8.0,red,500.0,0.0,500.0
8.0,blue,0.0,0.0,0.0
9.0,red,500.0,0.0,500.0
9.0,blue,500.0,0.0,500.0
10.0,red,500.0,0.0,500.0
10.0,blue,1500.0,0.0,1500.0
11.0,red,1000.0,0.0,1000.0
11.0,blue,2000.0,0.0,2000.0
12.0,red,1500.0,0.0,1500.0
12.0,blue,2500.0,2000.0,4500.0
13.0,red,1500.0,0.0,1500.0
13.0,blue,2500.0,2000.0,4500.0
14.0,red,1500.0,0.0,1500.0
14.0,blue,2500.0,2000.0,4500.0
15.0,red,2500.0,0.0,2500.0
15.0,blue,2500.0,2000.0,4500.0
16.0,red,3500.0,2000.0,5500.0
16.0,blue,3500.0,2000.0,5500.0
17.0,red,3500.0,2000.0,5500.0
17.0,blue,3500.0,2000.0,5500.0
18.0,red,4000.0,2000.0,6000.0
18.0,blue,3500.0,2000.0,5500.0
19.0,red,4000.0,2000.0,6000.0
19.0,blue,3500.0,2000.0,5500.0
20.0,red,4000.0,2000.0,6000.0
20.0,blue,3500.0,2000.0,5500.0
21.0,red,4000.0,2000.0,6000.0
21.0,blue,4500.0,2000.0,6500.0
22.0,red,4500.0,2000.0,6500.0
22.0,blue,4500.0,2000.0,6500.0
23.0,red,4500.0,4100.0,8600.0
23.0,blue,5000.0,2000.0,7000.0
24.0,red,4500.0,6200.0,10700.0
24.0,blue,6000.0,2000.0,8000.0
25.0,red,4500.0,6200.0,10700.0
25.0,blue,6000.0,2000.0,8000.0
26.0,red,4500.0,6200.0,10700.0
26.0,blue,6000.0,2000.0,8000.0
27.0,red,4500.0,6200.0,10700.0
27.0,blue,6000.0,2000.0,8000.0
28.0,red,4500.0,6200.0,10700.0
28.0,blue,6000.0,2000.0,8000.0
29.0,red,5000.0,6200.0,11200.0
29.0,blue,6000.0,2000.0,8000.0
30.0,red,6000.0,8300.0,14300.0
30.0,blue,7500.0,2000.0,9500.0
31.0,red,6000.0,8300.0,14300.0
31.0,blue,7500.0,2000.0,9500.0
32.0,red,6000.0,8300.0,14300.0
32.0,blue,7500.0,2000.0,9500.0
33.0,red,6500.0,8300.0,14800.0
33.0,blue,8500.0,2000.0,10500.0
34.0,red,6500.0,8300.0,14800.0
34.0,blue,8500.0,2000.0,10500.0
35.0,red,6500.0,8300.0,14800.0
35.0,blue,8500.0,2000.0,10500.0
36.0,red,6500.0,8300.0,14800.0
